UserID,Age,UserSegment,Recency,Account,LastProduct 
1,56,A,Inactive,1,Car
2,39,A,Inactive,0,Home
3,62,A,Active,0,Car
4,29,C,Inactive,1,Car 
5,41,C,Dormant,1,Car
6,53,A,Active,0,Car
7,30,C,Inactive,1,Money 
8,44,A,Active,1,Car
9,71,C,Dormant,1,Money
10,40,B,Active,0,Car 
11,25,B,Active,1,Car
12,53,A,Active,0,Car
13,42,A,Active,1,Home
14,32,C,Dormant,1,Money
15,65,C,Dormant,0,Home
16,70,A,Active,0,Money 
17,46,C,Active,0,Home
18,68,B,Active,0,Car
19,33,C,Dormant,0,Car 
20,63,B,Inactive,0,Car
21,29,B,Active,1,Car
22,41,A,Active,0,Home
23,33,A,Inactive,1,Car 
24,44,A,Active,0,Car
25,53,A,Active,0,Car
26,37,A,Active,1,Home
27,40,B,Inactive,1,Car 
28,36,B,Dormant,1,Car
29,66,A,Active,1,Money 
30,57,A,Active,1,Car
31,69,B,Dormant,0,Home
32,47,A,Dormant,0,Home
33,42,A,Inactive,0,Money
34,31,A,Active,0,Car
35,68,A,Inactive,0,Money 
36,30,A,Active,0,Car
37,31,A,Active,1,Car
38,37,A,Active,1,Money
39,36,C,Inactive,0,Car 
40,27,B,Dormant,1,Money 
41,56,C,Active,0,Car 
42,32,B,Inactive,1,Home
43,56,C,Dormant,0,Car
44,37,A,Active,1,Car
45,20,C,Dormant,1,Money
46,23,A,Active,1,Car
47,47,A,Active,1,Money
48,55,A,Active,0,Car
49,41,A,Active,1,Money
50,37,C,Dormant,0,Money 
51,37,A,Active,0,Car
52,49,B,Active,1,Car
53,36,B,Active,1,Home
54,61,C,Dormant,0,Money 
55,37,B,Active,0,Car
56,21,A,Active,1,Home
57,48,C,Active,1,Car
58,63,C,Active,1,Home
59,55,B,Dormant,1,Car 
60,51,A,Active,0,Car
61,31,B,Active,1,Money
62,30,B,Active,1,Home
63,46,B,Active,0,Money 
64,39,A,Active,0,Money
65,67,A,Inactive,0,Money 
66,57,A,Active,0,Car
67,32,B,Active,0,Car
68,23,A,Active,1,Car
69,41,B,Active,1,Car 
70,20,C,Active,1,Car
71,26,A,Active,0,Money 
72,46,B,Active,0,Car 
73,52,B,Active,0,Car 
74,54,B,Active,1,Car
75,38,C,Active,1,Car
76,35,A,Active,1,Car
77,35,A,Active,0,Home
78,29,A,Active,0,Car 
79,51,A,Active,1,Car
80,51,C,Active,1,Home
81,46,A,Active,0,Car 
82,37,A,Active,1,Car
83,64,C,Dormant,0,Money 
84,56,B,Active,0,Car
85,49,A,Active,0,Home
86,40,A,Active,0,Car 
87,50,A,Active,1,Car
88,47,A,Active,1,Car
